sha,filename,url,lines,title,comment,priority,category,additional,id,private
"cf4ab38b4b3c879a3e3fd42b6fb2b618ad3ec95f","/frameworks/js/napi/include/devicestatus_event.h","","38:0-41:0","","拷贝代价小的参数不需要使用 const &","0","","","51db039e-f38c-428c-a3f8-2fe0d4f9b521","0"
"cf4ab38b4b3c879a3e3fd42b6fb2b618ad3ec95f","/frameworks/js/napi/include/devicestatus_napi.h","","60:5-62:91","","拷贝代价小的参数不使用const &","0","","","2fa6c3f5-2da4-486c-a6ab-1f86c3b45ba0","0"
"cf4ab38b4b3c879a3e3fd42b6fb2b618ad3ec95f","/frameworks/js/napi/src/devicestatus_event.cpp","","43:85-43:85","","const &","0","","","40bd7116-2c1f-4217-8c37-4a355f1703bd","0"
"cf4ab38b4b3c879a3e3fd42b6fb2b618ad3ec95f","/frameworks/js/napi/src/devicestatus_event.cpp","","50:8-50:45","","使用 auto ","0","","","2a7a40ac-fa3a-4a7f-81ce-7250b9d03ff9","0"
"cf4ab38b4b3c879a3e3fd42b6fb2b618ad3ec95f","/frameworks/js/napi/src/devicestatus_event.cpp","","48:3-48:81","","使用 auto 避免长定义","0","","","27cf331b-2c78-4e23-ad20-5a32b67e8644","0"
"cf4ab38b4b3c879a3e3fd42b6fb2b618ad3ec95f","/frameworks/js/napi/src/devicestatus_event.cpp","","73:0-73:66","","同上","0","","","f83ddb61-874d-482a-9d08-311cb8623c0f","0"
"cf4ab38b4b3c879a3e3fd42b6fb2b618ad3ec95f","/frameworks/js/napi/src/devicestatus_event.cpp","","84:2-84:81","","同上","0","","","83064b53-e14c-4876-b2d3-01772c45d731","0"
"cf4ab38b4b3c879a3e3fd42b6fb2b618ad3ec95f","/frameworks/js/napi/src/devicestatus_event.cpp","","114:0-114:105","","同上","0","","","6d961fcc-422f-4de1-9070-ee641ad02fd1","0"
"cf4ab38b4b3c879a3e3fd42b6fb2b618ad3ec95f","/frameworks/js/napi/src/devicestatus_event.cpp","","160:0-160:38","","统一排查，napi的函数调用都要有返回值检查","0","","","d74d3218-29d9-4e37-b201-55e2838857c9","0"
"cf4ab38b4b3c879a3e3fd42b6fb2b618ad3ec95f","/frameworks/native/src/devicestatus_agent.cpp","","58:47-58:101","","考虑enum需要使用const & 吗，下同","0","","","0ca71841-44b2-48fd-a62f-8e6738fd4c33","0"
"cf4ab38b4b3c879a3e3fd42b6fb2b618ad3ec95f","/services/native/test/unittest/src/devicestatus_agent_test.cpp","","323:0-323:101","","no throw","0","","","1dd149b5-28fd-4aaf-8f7a-e2d39a2c0b63","0"
"cf4ab38b4b3c879a3e3fd42b6fb2b618ad3ec95f","/services/native/test/unittest/src/devicestatus_client_test.cpp","","73:98-73:98","","no  throw","0","","","3ff76fe7-9e1c-406c-a04b-ae4741d697bb","0"
"cf4ab38b4b3c879a3e3fd42b6fb2b618ad3ec95f","/services/native/test/unittest/src/devicestatus_client_test.cpp","","119:94-119:94","","no throw","0","","","f35a8750-38dc-4ebc-b5fb-7ca7aa092858","0"
"cf4ab38b4b3c879a3e3fd42b6fb2b618ad3ec95f","/services/native/test/unittest/src/devicestatus_client_test.cpp","","137:94-137:94","","no throw","0","","","0d987c97-f205-444a-9ae5-ddc004e8871c","0"
"cf4ab38b4b3c879a3e3fd42b6fb2b618ad3ec95f","/services/native/test/unittest/src/devicestatus_client_test.cpp","","193:98-193:98",""," no throw","0","","","28083082-181a-4844-9587-b4f60e8e849d","0"
